supplier_id,name,importance_level
S‑ACC153,ACC服务商153,一般
S‑ACC154,ACC服务商154,重要
S‑ACC155,ACC服务商155,一般
S‑ACC156,ACC服务商156,重要
S‑ACC157,ACC服务商157,重要
S‑ACC158,ACC服务商158,重要
S‑ACC159,ACC服务商159,重要
S‑ACC160,ACC服务商160,重要
S‑SUD161,SUD服务商161,重要
S‑SUD162,SUD服务商162,一般
S‑SUD163,SUD服务商163,重要
S‑SUD164,SUD服务商164,重要
S‑SUD165,SUD服务商165,一般
S‑SUD166,SUD服务商166,一般
S‑SUD167,SUD服务商167,一般
S‑SUD168,SUD服务商168,重要
S‑SUD169,SUD服务商169,一般
S‑SUD170,SUD服务商170,重要
S‑SUD171,SUD服务商171,重要
S‑SUD172,SUD服务商172,重要
S‑SUD173,SUD服务商173,重要
S‑SUD174,SUD服务商174,重要
S‑SUD175,SUD服务商175,重要
S‑SUD176,SUD服务商176,重要
S‑SUD177,SUD服务商177,一般
S‑SUD178,SUD服务商178,一般
S‑SUD179,SUD服务商179,重要
S‑SUD180,SUD服务商180,重要
S‑REC181,REC服务商181,重要
S‑REC182,REC服务商182,重要
S‑REC183,REC服务商183,重要
S‑REC184,REC服务商184,重要
S‑REC185,REC服务商185,一般
S‑REC186,REC服务商186,重要
S‑REC187,REC服务商187,重要
S‑REC188,REC服务商188,一般
S‑REC189,REC服务商189,重要
S‑REC190,REC服务商190,重要
S‑REC191,REC服务商191,重要
S‑REC192,REC服务商192,重要
S‑REC193,REC服务商193,一般
S‑REC194,REC服务商194,重要
S‑REC195,REC服务商195,重要
S‑REC196,REC服务商196,重要
S‑REC197,REC服务商197,一般
S‑REC198,REC服务商198,一般
S‑REC199,REC服务商199,重要
S‑REC200,REC服务商200,重要
