evidence_id,supplier_id,event_category,event_subtype,event_severity,event_week,source_type
E‑S‑NOR029‑2,S‑NOR029,人员,关键岗位变动,1,17,工商公示
E‑S‑NOR030‑1,S‑NOR030,人员,核心人员离职,2,13,内部巡检
E‑S‑NOR030‑2,S‑NOR030,人员,关键岗位变动,2,23,人力台账
E‑S‑NOR031‑1,S‑NOR031,舆情,网络负面舆情,1,26,监管公示
E‑S‑NOR031‑2,S‑NOR031,人员,核心人员离职,2,31,工商公示
E‑S‑NOR032‑1,S‑NOR032,安全,数据泄露,2,6,工商公示
E‑S‑NOR032‑2,S‑NOR032,舆情,行业投诉曝光,2,45,内部巡检
E‑S‑NOR032‑3,S‑NOR032,履约,运维故障,2,13,内部巡检
E‑S‑NOR032‑4,S‑NOR032,履约,批次交付延迟,2,24,监管公示
E‑S‑NOR033‑1,S‑NOR033,合规,监管问询,1,18,人力台账
E‑S‑NOR033‑2,S‑NOR033,经营,股权变更,1,35,工商公示
E‑S‑NOR033‑3,S‑NOR033,经营,股权变更,2,44,安全公告
E‑S‑NOR033‑4,S‑NOR033,安全,漏洞上报,2,48,安全公告
E‑S‑NOR034‑1,S‑NOR034,舆情,行业投诉曝光,1,37,ITSM记录
E‑S‑NOR034‑2,S‑NOR034,经营,业务收缩,1,45,安全公告
E‑S‑NOR034‑3,S‑NOR034,合规,行政处罚,1,27,工商公示
E‑S‑NOR034‑4,S‑NOR034,安全,权限违规,2,29,监管公示
E‑S‑NOR035‑1,S‑NOR035,舆情,网络负面舆情,1,44,工商公示
E‑S‑NOR035‑2,S‑NOR035,合规,合规巡检不通过,2,42,内部巡检
E‑S‑NOR035‑3,S‑NOR035,人员,关键岗位变动,1,21,ITSM记录
E‑S‑NOR035‑4,S‑NOR035,人员,核心人员离职,1,4,监管公示
E‑S‑NOR036‑1,S‑NOR036,经营,股东变动,2,47,监管公示
E‑S‑NOR036‑2,S‑NOR036,经营,股东变动,1,11,内部巡检
E‑S‑NOR036‑3,S‑NOR036,经营,股东变动,2,13,内部巡检
E‑S‑NOR036‑4,S‑NOR036,合规,监管问询,2,9,ITSM记录
E‑S‑NOR037‑1,S‑NOR037,合规,合规巡检不通过,2,34,安全公告
E‑S‑NOR037‑2,S‑NOR037,经营,股东变动,2,49,监管公示
E‑S‑NOR037‑3,S‑NOR037,安全,权限违规,2,42,安全公告
E‑S‑NOR037‑4,S‑NOR037,经营,股东变动,2,19,内部巡检
E‑S‑NOR038‑1,S‑NOR038,安全,漏洞上报,1,10,ITSM记录
E‑S‑NOR038‑2,S‑NOR038,经营,股东变动,1,47,内部巡检
E‑S‑NOR038‑3,S‑NOR038,经营,业务收缩,2,23,监管公示
E‑S‑NOR039‑1,S‑NOR039,合规,合规巡检不通过,2,3,监管公示
E‑S‑NOR039‑2,S‑NOR039,履约,运维故障,2,21,监管公示
E‑S‑NOR039‑3,S‑NOR039,合规,合规巡检不通过,1,49,监管公示
E‑S‑NOR039‑4,S‑NOR039,人员,团队人员流失,2,29,内部巡检
E‑S‑NOR040‑1,S‑NOR040,经营,股东变动,1,41,监管公示
E‑S‑NOR040‑2,S‑NOR040,合规,合规巡检不通过,1,44,内部巡检
E‑S‑NOR041‑1,S‑NOR041,履约,运维故障,2,26,ITSM记录
E‑S‑NOR041‑2,S‑NOR041,经营,经营亏损,2,23,工商公示
E‑S‑NOR042‑1,S‑NOR042,履约,项目延期,1,24,人力台账
E‑S‑NOR042‑2,S‑NOR042,履约,项目延期,1,50,ITSM记录
E‑S‑NOR042‑3,S‑NOR042,人员,核心人员离职,1,41,ITSM记录
E‑S‑NOR042‑4,S‑NOR042,人员,团队人员流失,1,44,安全公告
E‑S‑NOR043‑1,S‑NOR043,人员,关键岗位变动,1,40,ITSM记录
E‑S‑NOR043‑2,S‑NOR043,安全,漏洞上报,1,39,工商公示
E‑S‑NOR043‑3,S‑NOR043,合规,合规巡检不通过,2,26,人力台账
E‑S‑NOR044‑1,S‑NOR044,舆情,行业投诉曝光,1,45,安全公告
E‑S‑NOR045‑1,S‑NOR045,履约,运维故障,2,2,监管公示
E‑S‑NOR045‑2,S‑NOR045,履约,批次交付延迟,2,25,人力台账
E‑S‑NOR045‑3,S‑NOR045,人员,团队人员流失,2,13,安全公告
E‑S‑NOR046‑1,S‑NOR046,舆情,行业投诉曝光,1,22,内部巡检
E‑S‑NOR046‑2,S‑NOR046,安全,内网安全告警,2,17,安全公告
E‑S‑NOR046‑3,S‑NOR046,合规,合规巡检不通过,2,26,内部巡检
E‑S‑NOR046‑4,S‑NOR046,经营,经营亏损,2,13,ITSM记录
E‑S‑NOR047‑1,S‑NOR047,合规,合规巡检不通过,1,19,安全公告
E‑S‑NOR047‑2,S‑NOR047,人员,核心人员离职,2,17,监管公示
E‑S‑NOR047‑3,S‑NOR047,合规,监管问询,2,46,人力台账
E‑S‑NOR048‑1,S‑NOR048,安全,权限违规,1,27,工商公示
E‑S‑NOR049‑1,S‑NOR049,经营,经营亏损,2,24,工商公示
E‑S‑NOR049‑2,S‑NOR049,安全,数据泄露,1,16,人力台账
E‑S‑NOR049‑3,S‑NOR049,人员,团队人员流失,1,9,ITSM记录
E‑S‑NOR050‑1,S‑NOR050,履约,交付质量不达标,1,20,工商公示
E‑S‑NOR050‑2,S‑NOR050,人员,团队人员流失,1,2,工商公示
E‑S‑NOR050‑3,S‑NOR050,履约,项目延期,2,37,人力台账
E‑S‑NOR051‑1,S‑NOR051,履约,运维故障,2,32,监管公示
E‑S‑NOR052‑1,S‑NOR052,经营,股权变更,2,6,监管公示
E‑S‑NOR052‑2,S‑NOR052,履约,项目延期,1,11,安全公告
E‑S‑NOR052‑3,S‑NOR052,安全,漏洞上报,1,17,安全公告
E‑S‑NOR053‑1,S‑NOR053,经营,业务收缩,2,21,工商公示
E‑S‑NOR053‑2,S‑NOR053,合规,合规巡检不通过,1,5,ITSM记录
E‑S‑NOR053‑3,S‑NOR053,舆情,网络负面舆情,1,18,ITSM记录
E‑S‑NOR053‑4,S‑NOR053,人员,核心人员离职,1,37,ITSM记录
E‑S‑NOR054‑1,S‑NOR054,履约,交付质量不达标,2,20,人力台账
E‑S‑NOR054‑2,S‑NOR054,经营,股权变更,1,45,工商公示
E‑S‑NOR054‑3,S‑NOR054,舆情,网络负面舆情,1,29,安全公告
E‑S‑NOR055‑1,S‑NOR055,履约,项目延期,2,12,安全公告
E‑S‑NOR055‑2,S‑NOR055,舆情,行业投诉曝光,1,30,监管公示
E‑S‑NOR056‑1,S‑NOR056,合规,合规巡检不通过,2,33,内部巡检
E‑S‑NOR056‑2,S‑NOR056,合规,监管问询,2,29,安全公告
E‑S‑NOR056‑3,S‑NOR056,安全,漏洞上报,1,7,人力台账
E‑S‑NOR057‑1,S‑NOR057,合规,监管问询,1,50,监管公示
E‑S‑NOR057‑2,S‑NOR057,合规,合规巡检不通过,2,30,ITSM记录
E‑S‑NOR057‑3,S‑NOR057,合规,行政处罚,2,42,内部巡检
E‑S‑NOR058‑1,S‑NOR058,舆情,网络负面舆情,2,12,监管公示
E‑S‑NOR058‑2,S‑NOR058,舆情,行业投诉曝光,2,20,安全公告
E‑S‑NOR058‑3,S‑NOR058,履约,批次交付延迟,2,7,工商公示
E‑S‑NOR059‑1,S‑NOR059,舆情,行业投诉曝光,1,28,ITSM记录
E‑S‑NOR060‑1,S‑NOR060,履约,交付质量不达标,1,19,工商公示
E‑S‑NOR060‑2,S‑NOR060,经营,业务收缩,1,9,人力台账
E‑S‑NOR060‑3,S‑NOR060,合规,监管问询,1,47,工商公示
E‑S‑NOR060‑4,S‑NOR060,合规,监管问询,2,37,内部巡检
E‑S‑NOR061‑1,S‑NOR061,履约,交付质量不达标,2,33,安全公告
E‑S‑NOR061‑2,S‑NOR061,舆情,行业投诉曝光,2,28,监管公示
E‑S‑NOR061‑3,S‑NOR061,人员,团队人员流失,1,37,监管公示
E‑S‑NOR061‑4,S‑NOR061,人员,关键岗位变动,1,34,内部巡检
E‑S‑NOR062‑1,S‑NOR062,合规,行政处罚,2,2,人力台账
E‑S‑NOR062‑2,S‑NOR062,安全,内网安全告警,2,11,安全公告
E‑S‑NOR062‑3,S‑NOR062,经营,经营亏损,2,23,监管公示
E‑S‑NOR063‑1,S‑NOR063,人员,团队人员流失,2,4,人力台账
E‑S‑NOR063‑2,S‑NOR063,经营,业务收缩,1,26,监管公示
E‑S‑NOR063‑3,S‑NOR063,履约,交付质量不达标,2,34,内部巡检
E‑S‑NOR063‑4,S‑NOR063,经营,股权变更,2,35,内部巡检
E‑S‑NOR064‑1,S‑NOR064,经营,经营亏损,2,23,人力台账
E‑S‑NOR065‑1,S‑NOR065,舆情,行业投诉曝光,1,36,安全公告
E‑S‑NOR065‑2,S‑NOR065,履约,交付质量不达标,2,42,ITSM记录
E‑S‑NOR065‑3,S‑NOR065,舆情,网络负面舆情,1,29,人力台账
E‑S‑NOR066‑1,S‑NOR066,舆情,行业投诉曝光,1,3,工商公示
E‑S‑NOR066‑2,S‑NOR066,履约,运维故障,2,24,监管公示
E‑S‑NOR067‑1,S‑NOR067,人员,核心人员离职,2,7,安全公告
E‑S‑NOR067‑2,S‑NOR067,舆情,网络负面舆情,1,33,ITSM记录
E‑S‑NOR068‑1,S‑NOR068,舆情,网络负面舆情,2,31,人力台账
E‑S‑NOR068‑2,S‑NOR068,合规,监管问询,2,6,工商公示
E‑S‑NOR068‑3,S‑NOR068,合规,行政处罚,2,42,人力台账
E‑S‑NOR069‑1,S‑NOR069,经营,业务收缩,1,8,监管公示
E‑S‑NOR069‑2,S‑NOR069,合规,行政处罚,2,38,人力台账
E‑S‑NOR070‑1,S‑NOR070,履约,项目延期,2,40,工商公示
E‑S‑NOR070‑2,S‑NOR070,人员,关键岗位变动,1,24,人力台账
E‑S‑NOR070‑3,S‑NOR070,人员,关键岗位变动,1,18,人力台账
E‑S‑NOR071‑1,S‑NOR071,经营,股权变更,2,39,人力台账
E‑S‑NOR071‑2,S‑NOR071,人员,核心人员离职,2,20,人力台账
E‑S‑NOR071‑3,S‑NOR071,经营,股东变动,1,14,安全公告
E‑S‑NOR072‑1,S‑NOR072,安全,内网安全告警,2,20,内部巡检
E‑S‑NOR072‑2,S‑NOR072,经营,股权变更,1,11,人力台账
E‑S‑NOR073‑1,S‑NOR073,履约,批次交付延迟,2,2,安全公告
E‑S‑NOR073‑2,S‑NOR073,履约,批次交付延迟,2,25,安全公告
E‑S‑NOR073‑3,S‑NOR073,经营,经营亏损,1,8,监管公示
E‑S‑NOR074‑1,S‑NOR074,舆情,网络负面舆情,2,42,人力台账
E‑S‑NOR074‑2,S‑NOR074,安全,内网安全告警,1,9,内部巡检
E‑S‑NOR075‑1,S‑NOR075,履约,交付质量不达标,1,36,监管公示
E‑S‑NOR076‑1,S‑NOR076,经营,股权变更,2,33,工商公示
E‑S‑NOR076‑2,S‑NOR076,履约,运维故障,2,15,监管公示
E‑S‑NOR077‑1,S‑NOR077,合规,合规巡检不通过,1,24,监管公示
E‑S‑NOR077‑2,S‑NOR077,安全,权限违规,2,9,内部巡检
E‑S‑NOR077‑3,S‑NOR077,舆情,网络负面舆情,1,43,内部巡检
E‑S‑NOR078‑1,S‑NOR078,履约,交付质量不达标,1,39,ITSM记录
E‑S‑NOR078‑2,S‑NOR078,安全,权限违规,1,40,工商公示
E‑S‑NOR079‑1,S‑NOR079,履约,项目延期,1,10,工商公示
E‑S‑NOR079‑2,S‑NOR079,人员,关键岗位变动,1,22,ITSM记录
E‑S‑NOR080‑1,S‑NOR080,舆情,网络负面舆情,2,32,工商公示
E‑S‑NOR081‑1,S‑NOR081,合规,监管问询,2,48,监管公示
E‑S‑NOR081‑2,S‑NOR081,舆情,网络负面舆情,2,5,监管公示
E‑S‑NOR082‑1,S‑NOR082,履约,项目延期,1,22,内部巡检
E‑S‑NOR082‑2,S‑NOR082,人员,团队人员流失,2,41,监管公示
E‑S‑NOR082‑3,S‑NOR082,合规,合规巡检不通过,2,20,安全公告
E‑S‑NOR082‑4,S‑NOR082,合规,行政处罚,1,8,人力台账
E‑S‑NOR083‑1,S‑NOR083,经营,股东变动,2,28,监管公示
E‑S‑NOR083‑2,S‑NOR083,经营,业务收缩,1,48,工商公示
E‑S‑NOR083‑3,S‑NOR083,经营,经营亏损,2,44,工商公示
E‑S‑NOR083‑4,S‑NOR083,人员,关键岗位变动,1,32,内部巡检
E‑S‑NOR084‑1,S‑NOR084,人员,关键岗位变动,2,5,人力台账
E‑S‑NOR084‑2,S‑NOR084,履约,批次交付延迟,2,24,人力台账
E‑S‑NOR084‑3,S‑NOR084,履约,运维故障,2,40,工商公示
E‑S‑NOR085‑1,S‑NOR085,舆情,行业投诉曝光,1,16,工商公示
E‑S‑NOR085‑2,S‑NOR085,合规,行政处罚,2,9,安全公告
E‑S‑NOR086‑1,S‑NOR086,履约,交付质量不达标,2,19,工商公示
E‑S‑NOR086‑2,S‑NOR086,安全,漏洞上报,1,13,安全公告
E‑S‑NOR086‑3,S‑NOR086,舆情,行业投诉曝光,1,6,人力台账
E‑S‑NOR087‑1,S‑NOR087,经营,业务收缩,2,31,ITSM记录
E‑S‑NOR087‑2,S‑NOR087,安全,数据泄露,2,48,安全公告
E‑S‑NOR088‑1,S‑NOR088,人员,关键岗位变动,1,5,工商公示
E‑S‑NOR088‑2,S‑NOR088,经营,业务收缩,2,33,监管公示
E‑S‑NOR089‑1,S‑NOR089,经营,股权变更,2,20,安全公告
E‑S‑NOR089‑2,S‑NOR089,舆情,行业投诉曝光,1,4,监管公示
E‑S‑NOR089‑3,S‑NOR089,合规,监管问询,1,2,工商公示
E‑S‑NOR090‑1,S‑NOR090,安全,漏洞上报,2,2,人力台账
E‑S‑NOR090‑2,S‑NOR090,经营,股东变动,2,10,安全公告
E‑S‑NOR090‑3,S‑NOR090,舆情,网络负面舆情,2,34,内部巡检
E‑S‑NOR091‑1,S‑NOR091,履约,批次交付延迟,2,6,安全公告
E‑S‑NOR091‑2,S‑NOR091,经营,业务收缩,2,47,工商公示
E‑S‑NOR091‑3,S‑NOR091,履约,批次交付延迟,2,3,ITSM记录
E‑S‑NOR091‑4,S‑NOR091,合规,行政处罚,2,46,内部巡检
E‑S‑NOR092‑1,S‑NOR092,合规,行政处罚,1,35,监管公示
E‑S‑NOR092‑2,S‑NOR092,安全,数据泄露,2,16,ITSM记录
E‑S‑NOR092‑3,S‑NOR092,履约,项目延期,1,35,工商公示
E‑S‑NOR092‑4,S‑NOR092,安全,权限违规,1,17,ITSM记录
E‑S‑NOR093‑1,S‑NOR093,人员,关键岗位变动,2,33,安全公告
E‑S‑NOR094‑1,S‑NOR094,人员,团队人员流失,2,6,监管公示
E‑S‑NOR094‑2,S‑NOR094,舆情,行业投诉曝光,1,19,工商公示
E‑S‑NOR094‑3,S‑NOR094,合规,监管问询,2,21,监管公示
E‑S‑NOR095‑1,S‑NOR095,舆情,网络负面舆情,2,41,监管公示
E‑S‑NOR096‑1,S‑NOR096,合规,合规巡检不通过,2,14,安全公告
E‑S‑NOR096‑2,S‑NOR096,经营,股东变动,2,5,内部巡检
E‑S‑NOR096‑3,S‑NOR096,安全,漏洞上报,1,34,内部巡检
E‑S‑NOR096‑4,S‑NOR096,人员,关键岗位变动,2,30,安全公告
E‑S‑NOR097‑1,S‑NOR097,安全,内网安全告警,2,28,人力台账
E‑S‑NOR097‑2,S‑NOR097,合规,监管问询,2,42,内部巡检
E‑S‑NOR097‑3,S‑NOR097,安全,漏洞上报,2,37,工商公示
E‑S‑NOR098‑1,S‑NOR098,履约,交付质量不达标,2,24,人力台账
E‑S‑NOR098‑2,S‑NOR098,舆情,行业投诉曝光,1,10,工商公示
E‑S‑NOR098‑3,S‑NOR098,合规,行政处罚,2,43,ITSM记录
E‑S‑NOR099‑1,S‑NOR099,合规,行政处罚,2,3,工商公示
E‑S‑NOR099‑2,S‑NOR099,人员,核心人员离职,2,23,ITSM记录
E‑S‑NOR099‑3,S‑NOR099,人员,核心人员离职,1,11,工商公示
E‑S‑NOR099‑4,S‑NOR099,履约,项目延期,2,44,安全公告
E‑S‑NOR100‑1,S‑NOR100,人员,关键岗位变动,1,41,人力台账
E‑S‑NOR100‑2,S‑NOR100,经营,股权变更,2,28,人力台账
E‑S‑NOR101‑1,S‑NOR101,舆情,行业投诉曝光,1,16,工商公示
E‑S‑NOR101‑2,S‑NOR101,经营,股东变动,2,25,监管公示
E‑S‑NOR101‑3,S‑NOR101,安全,内网安全告警,2,34,ITSM记录
E‑S‑NOR102‑1,S‑NOR102,履约,批次交付延迟,1,25,人力台账
E‑S‑NOR102‑2,S‑NOR102,合规,监管问询,1,20,ITSM记录
E‑S‑NOR102‑3,S‑NOR102,安全,内网安全告警,1,34,监管公示
E‑S‑NOR103‑1,S‑NOR103,安全,漏洞上报,1,28,监管公示
E‑S‑NOR103‑2,S‑NOR103,合规,行政处罚,2,17,内部巡检
E‑S‑NOR103‑3,S‑NOR103,安全,权限违规,2,3,内部巡检
E‑S‑NOR103‑4,S‑NOR103,舆情,行业投诉曝光,1,11,内部巡检
E‑S‑NOR104‑1,S‑NOR104,舆情,行业投诉曝光,1,30,内部巡检
E‑S‑NOR104‑2,S‑NOR104,履约,运维故障,1,15,安全公告
E‑S‑NOR105‑1,S‑NOR105,安全,权限违规,1,21,内部巡检
E‑S‑NOR106‑1,S‑NOR106,履约,批次交付延迟,1,40,人力台账
E‑S‑NOR107‑1,S‑NOR107,经营,股权变更,2,41,ITSM记录
E‑S‑NOR107‑2,S‑NOR107,合规,行政处罚,1,13,安全公告
E‑S‑NOR107‑3,S‑NOR107,安全,漏洞上报,1,35,监管公示
E‑S‑NOR108‑1,S‑NOR108,安全,漏洞上报,1,24,工商公示
E‑S‑NOR108‑2,S‑NOR108,人员,关键岗位变动,1,44,安全公告
E‑S‑NOR108‑3,S‑NOR108,舆情,行业投诉曝光,1,10,工商公示
E‑S‑NOR109‑1,S‑NOR109,舆情,行业投诉曝光,1,42,ITSM记录
E‑S‑NOR109‑2,S‑NOR109,履约,批次交付延迟,2,4,ITSM记录
E‑S‑NOR109‑3,S‑NOR109,履约,交付质量不达标,2,4,工商公示
E‑S‑NOR109‑4,S‑NOR109,合规,行政处罚,2,36,工商公示
E‑S‑NOR110‑1,S‑NOR110,安全,漏洞上报,2,43,工商公示
E‑S‑NOR110‑2,S‑NOR110,履约,运维故障,2,29,人力台账
E‑S‑NOR110‑3,S‑NOR110,经营,业务收缩,1,23,监管公示
E‑S‑ACC111‑1,S‑ACC111,履约,批次交付延迟,1,20,监管公示
E‑S‑ACC111‑2,S‑ACC111,合规,监管问询,2,24,工商公示
E‑S‑ACC111‑3,S‑ACC111,履约,项目延期,2,28,人力台账
E‑S‑ACC111‑99,S‑ACC111,安全,数据泄露,4,35,安全公告
E‑S‑ACC112‑1,S‑ACC112,经营,股权变更,2,13,安全公告
E‑S‑ACC112‑2,S‑ACC112,经营,经营亏损,1,17,内部巡检
E‑S‑ACC112‑3,S‑ACC112,舆情,行业投诉曝光,2,21,安全公告
E‑S‑ACC112‑99,S‑ACC112,舆情,网络负面舆情,3,28,ITSM记录
E‑S‑ACC113‑1,S‑ACC113,人员,核心人员离职,1,8,人力台账
E‑S‑ACC113‑2,S‑ACC113,安全,数据泄露,2,12,安全公告
E‑S‑ACC113‑3,S‑ACC113,履约,交付质量不达标,2,16,工商公示
E‑S‑ACC113‑99,S‑ACC113,安全,内网安全告警,3,23,安全公告
E‑S‑ACC114‑1,S‑ACC114,舆情,行业投诉曝光,1,13,内部巡检
E‑S‑ACC114‑2,S‑ACC114,履约,交付质量不达标,2,17,安全公告
E‑S‑ACC114‑3,S‑ACC114,经营,股权变更,2,21,工商公示
E‑S‑ACC114‑99,S‑ACC114,舆情,行业投诉曝光,3,28,安全公告
E‑S‑ACC115‑1,S‑ACC115,履约,交付质量不达标,1,11,监管公示
E‑S‑ACC115‑2,S‑ACC115,人员,关键岗位变动,2,15,内部巡检
E‑S‑ACC115‑3,S‑ACC115,舆情,行业投诉曝光,2,19,人力台账
E‑S‑ACC115‑99,S‑ACC115,履约,运维故障,4,26,ITSM记录
E‑S‑ACC116‑1,S‑ACC116,安全,权限违规,1,20,ITSM记录
E‑S‑ACC116‑2,S‑ACC116,人员,核心人员离职,2,24,内部巡检
E‑S‑ACC116‑3,S‑ACC116,安全,数据泄露,2,28,安全公告
E‑S‑ACC116‑99,S‑ACC116,人员,关键岗位变动,3,35,内部巡检
E‑S‑ACC117‑1,S‑ACC117,经营,业务收缩,1,16,ITSM记录
E‑S‑ACC117‑2,S‑ACC117,安全,漏洞上报,2,20,监管公示
E‑S‑ACC117‑3,S‑ACC117,舆情,行业投诉曝光,1,24,安全公告
E‑S‑ACC117‑99,S‑ACC117,舆情,网络负面舆情,3,31,监管公示
E‑S‑ACC118‑1,S‑ACC118,履约,交付质量不达标,2,21,ITSM记录
E‑S‑ACC118‑2,S‑ACC118,人员,团队人员流失,1,25,工商公示
E‑S‑ACC118‑3,S‑ACC118,合规,行政处罚,1,29,工商公示
E‑S‑ACC118‑99,S‑ACC118,人员,关键岗位变动,4,36,ITSM记录
E‑S‑ACC119‑1,S‑ACC119,舆情,网络负面舆情,1,16,ITSM记录
E‑S‑ACC119‑2,S‑ACC119,舆情,行业投诉曝光,1,20,内部巡检
E‑S‑ACC119‑3,S‑ACC119,履约,项目延期,2,24,人力台账
E‑S‑ACC119‑99,S‑ACC119,人员,关键岗位变动,4,31,安全公告
E‑S‑ACC120‑1,S‑ACC120,安全,内网安全告警,1,18,人力台账
E‑S‑ACC120‑2,S‑ACC120,经营,经营亏损,2,22,内部巡检
E‑S‑ACC120‑3,S‑ACC120,舆情,网络负面舆情,1,26,监管公示
E‑S‑ACC120‑99,S‑ACC120,经营,业务收缩,4,33,ITSM记录
E‑S‑ACC121‑1,S‑ACC121,舆情,行业投诉曝光,2,21,监管公示
E‑S‑ACC121‑2,S‑ACC121,人员,团队人员流失,1,25,工商公示
E‑S‑ACC121‑3,S‑ACC121,人员,团队人员流失,1,29,工商公示
E‑S‑ACC121‑99,S‑ACC121,经营,股东变动,3,36,内部巡检
E‑S‑ACC122‑1,S‑ACC122,合规,行政处罚,1,21,ITSM记录
E‑S‑ACC122‑2,S‑ACC122,安全,数据泄露,1,25,ITSM记录
E‑S‑ACC122‑3,S‑ACC122,经营,业务收缩,2,29,工商公示
E‑S‑ACC122‑99,S‑ACC122,经营,股权变更,3,36,监管公示
E‑S‑ACC123‑1,S‑ACC123,合规,行政处罚,1,11,内部巡检
E‑S‑ACC123‑2,S‑ACC123,安全,内网安全告警,2,15,工商公示
E‑S‑ACC123‑3,S‑ACC123,合规,监管问询,1,19,监管公示
E‑S‑ACC123‑99,S‑ACC123,人员,团队人员流失,4,26,监管公示
E‑S‑ACC124‑1,S‑ACC124,合规,监管问询,2,17,安全公告
E‑S‑ACC124‑2,S‑ACC124,安全,漏洞上报,2,21,安全公告
E‑S‑ACC124‑3,S‑ACC124,经营,经营亏损,1,25,ITSM记录
E‑S‑ACC124‑99,S‑ACC124,履约,批次交付延迟,4,32,工商公示
E‑S‑ACC125‑1,S‑ACC125,合规,合规巡检不通过,2,11,安全公告
