system_id,system_name,system_level,project_id
SYS‑S‑NOR050,核心业务系统‑S‑NOR050,核心,PJ‑S‑NOR050
SYS‑S‑NOR051,核心业务系统‑S‑NOR051,核心,PJ‑S‑NOR051
SYS‑S‑NOR052,重要业务系统‑S‑NOR052,重要,PJ‑S‑NOR052
SYS‑S‑NOR053,重要业务系统‑S‑NOR053,重要,PJ‑S‑NOR053
SYS‑S‑NOR054,核心业务系统‑S‑NOR054,核心,PJ‑S‑NOR054
SYS‑S‑NOR055,核心业务系统‑S‑NOR055,核心,PJ‑S‑NOR055
SYS‑S‑NOR056,一般业务系统‑S‑NOR056,一般,PJ‑S‑NOR056
SYS‑S‑NOR057,一般业务系统‑S‑NOR057,一般,PJ‑S‑NOR057
SYS‑S‑NOR058,重要业务系统‑S‑NOR058,重要,PJ‑S‑NOR058
SYS‑S‑NOR059,重要业务系统‑S‑NOR059,重要,PJ‑S‑NOR059
SYS‑S‑NOR060,一般业务系统‑S‑NOR060,一般,PJ‑S‑NOR060
SYS‑S‑NOR061,核心业务系统‑S‑NOR061,核心,PJ‑S‑NOR061
SYS‑S‑NOR062,重要业务系统‑S‑NOR062,重要,PJ‑S‑NOR062
SYS‑S‑NOR063,重要业务系统‑S‑NOR063,重要,PJ‑S‑NOR063
SYS‑S‑NOR064,一般业务系统‑S‑NOR064,一般,PJ‑S‑NOR064
SYS‑S‑NOR065,核心业务系统‑S‑NOR065,核心,PJ‑S‑NOR065
SYS‑S‑NOR066,一般业务系统‑S‑NOR066,一般,PJ‑S‑NOR066
SYS‑S‑NOR067,核心业务系统‑S‑NOR067,核心,PJ‑S‑NOR067
SYS‑S‑NOR068,重要业务系统‑S‑NOR068,重要,PJ‑S‑NOR068
SYS‑S‑NOR069,重要业务系统‑S‑NOR069,重要,PJ‑S‑NOR069
SYS‑S‑NOR070,重要业务系统‑S‑NOR070,重要,PJ‑S‑NOR070
SYS‑S‑NOR071,核心业务系统‑S‑NOR071,核心,PJ‑S‑NOR071
SYS‑S‑NOR072,重要业务系统‑S‑NOR072,重要,PJ‑S‑NOR072
SYS‑S‑NOR073,一般业务系统‑S‑NOR073,一般,PJ‑S‑NOR073
SYS‑S‑NOR074,核心业务系统‑S‑NOR074,核心,PJ‑S‑NOR074
SYS‑S‑NOR075,核心业务系统‑S‑NOR075,核心,PJ‑S‑NOR075
SYS‑S‑NOR076,重要业务系统‑S‑NOR076,重要,PJ‑S‑NOR076
SYS‑S‑NOR077,核心业务系统‑S‑NOR077,核心,PJ‑S‑NOR077
SYS‑S‑NOR078,重要业务系统‑S‑NOR078,重要,PJ‑S‑NOR078
SYS‑S‑NOR079,核心业务系统‑S‑NOR079,核心,PJ‑S‑NOR079
SYS‑S‑NOR080,重要业务系统‑S‑NOR080,重要,PJ‑S‑NOR080
SYS‑S‑NOR081,一般业务系统‑S‑NOR081,一般,PJ‑S‑NOR081
SYS‑S‑NOR082,重要业务系统‑S‑NOR082,重要,PJ‑S‑NOR082
SYS‑S‑NOR083,一般业务系统‑S‑NOR083,一般,PJ‑S‑NOR083
SYS‑S‑NOR084,核心业务系统‑S‑NOR084,核心,PJ‑S‑NOR084
SYS‑S‑NOR085,核心业务系统‑S‑NOR085,核心,PJ‑S‑NOR085
SYS‑S‑NOR086,核心业务系统‑S‑NOR086,核心,PJ‑S‑NOR086
SYS‑S‑NOR087,一般业务系统‑S‑NOR087,一般,PJ‑S‑NOR087
SYS‑S‑NOR088,一般业务系统‑S‑NOR088,一般,PJ‑S‑NOR088
SYS‑S‑NOR089,重要业务系统‑S‑NOR089,重要,PJ‑S‑NOR089
SYS‑S‑NOR090,核心业务系统‑S‑NOR090,核心,PJ‑S‑NOR090
SYS‑S‑NOR091,重要业务系统‑S‑NOR091,重要,PJ‑S‑NOR091
SYS‑S‑NOR092,重要业务系统‑S‑NOR092,重要,PJ‑S‑NOR092
SYS‑S‑NOR093,重要业务系统‑S‑NOR093,重要,PJ‑S‑NOR093
SYS‑S‑NOR094,一般业务系统‑S‑NOR094,一般,PJ‑S‑NOR094
SYS‑S‑NOR095,核心业务系统‑S‑NOR095,核心,PJ‑S‑NOR095
SYS‑S‑NOR096,一般业务系统‑S‑NOR096,一般,PJ‑S‑NOR096
SYS‑S‑NOR097,一般业务系统‑S‑NOR097,一般,PJ‑S‑NOR097
SYS‑S‑NOR098,重要业务系统‑S‑NOR098,重要,PJ‑S‑NOR098
SYS‑S‑NOR099,一般业务系统‑S‑NOR099,一般,PJ‑S‑NOR099
SYS‑S‑NOR100,核心业务系统‑S‑NOR100,核心,PJ‑S‑NOR100
SYS‑S‑NOR101,一般业务系统‑S‑NOR101,一般,PJ‑S‑NOR101
SYS‑S‑NOR102,核心业务系统‑S‑NOR102,核心,PJ‑S‑NOR102
SYS‑S‑NOR103,核心业务系统‑S‑NOR103,核心,PJ‑S‑NOR103
SYS‑S‑NOR104,重要业务系统‑S‑NOR104,重要,PJ‑S‑NOR104
SYS‑S‑NOR105,一般业务系统‑S‑NOR105,一般,PJ‑S‑NOR105
SYS‑S‑NOR106,核心业务系统‑S‑NOR106,核心,PJ‑S‑NOR106
SYS‑S‑NOR107,一般业务系统‑S‑NOR107,一般,PJ‑S‑NOR107
SYS‑S‑NOR108,重要业务系统‑S‑NOR108,重要,PJ‑S‑NOR108
SYS‑S‑NOR109,一般业务系统‑S‑NOR109,一般,PJ‑S‑NOR109
SYS‑S‑NOR110,核心业务系统‑S‑NOR110,核心,PJ‑S‑NOR110
SYS‑S‑ACC111,一般业务系统‑S‑ACC111,一般,PJ‑S‑ACC111
SYS‑S‑ACC112,一般业务系统‑S‑ACC112,一般,PJ‑S‑ACC112
SYS‑S‑ACC113,一般业务系统‑S‑ACC113,一般,PJ‑S‑ACC113
SYS‑S‑ACC114,核心业务系统‑S‑ACC114,核心,PJ‑S‑ACC114
SYS‑S‑ACC115,重要业务系统‑S‑ACC115,重要,PJ‑S‑ACC115
SYS‑S‑ACC116,一般业务系统‑S‑ACC116,一般,PJ‑S‑ACC116
SYS‑S‑ACC117,重要业务系统‑S‑ACC117,重要,PJ‑S‑ACC117
SYS‑S‑ACC118,一般业务系统‑S‑ACC118,一般,PJ‑S‑ACC118
SYS‑S‑ACC119,一般业务系统‑S‑ACC119,一般,PJ‑S‑ACC119
SYS‑S‑ACC120,一般业务系统‑S‑ACC120,一般,PJ‑S‑ACC120
SYS‑S‑ACC121,重要业务系统‑S‑ACC121,重要,PJ‑S‑ACC121
SYS‑S‑ACC122,核心业务系统‑S‑ACC122,核心,PJ‑S‑ACC122
SYS‑S‑ACC123,一般业务系统‑S‑ACC123,一般,PJ‑S‑ACC123
SYS‑S‑ACC124,重要业务系统‑S‑ACC124,重要,PJ‑S‑ACC124
SYS‑S‑ACC125,一般业务系统‑S‑ACC125,一般,PJ‑S‑ACC125
SYS‑S‑ACC126,一般业务系统‑S‑ACC126,一般,PJ‑S‑ACC126
SYS‑S‑ACC127,一般业务系统‑S‑ACC127,一般,PJ‑S‑ACC127
SYS‑S‑ACC128,核心业务系统‑S‑ACC128,核心,PJ‑S‑ACC128
SYS‑S‑ACC129,核心业务系统‑S‑ACC129,核心,PJ‑S‑ACC129
SYS‑S‑ACC130,重要业务系统‑S‑ACC130,重要,PJ‑S‑ACC130
SYS‑S‑ACC131,核心业务系统‑S‑ACC131,核心,PJ‑S‑ACC131
SYS‑S‑ACC132,重要业务系统‑S‑ACC132,重要,PJ‑S‑ACC132
SYS‑S‑ACC133,重要业务系统‑S‑ACC133,重要,PJ‑S‑ACC133
SYS‑S‑ACC134,重要业务系统‑S‑ACC134,重要,PJ‑S‑ACC134
SYS‑S‑ACC135,一般业务系统‑S‑ACC135,一般,PJ‑S‑ACC135
SYS‑S‑ACC136,一般业务系统‑S‑ACC136,一般,PJ‑S‑ACC136
SYS‑S‑ACC137,核心业务系统‑S‑ACC137,核心,PJ‑S‑ACC137
SYS‑S‑ACC138,一般业务系统‑S‑ACC138,一般,PJ‑S‑ACC138
SYS‑S‑ACC139,一般业务系统‑S‑ACC139,一般,PJ‑S‑ACC139
SYS‑S‑ACC140,重要业务系统‑S‑ACC140,重要,PJ‑S‑ACC140
SYS‑S‑ACC141,核心业务系统‑S‑ACC141,核心,PJ‑S‑ACC141
SYS‑S‑ACC142,一般业务系统‑S‑ACC142,一般,PJ‑S‑ACC142
SYS‑S‑ACC143,核心业务系统‑S‑ACC143,核心,PJ‑S‑ACC143
SYS‑S‑ACC144,一般业务系统‑S‑ACC144,一般,PJ‑S‑ACC144
SYS‑S‑ACC145,核心业务系统‑S‑ACC145,核心,PJ‑S‑ACC145
SYS‑S‑ACC146,重要业务系统‑S‑ACC146,重要,PJ‑S‑ACC146
SYS‑S‑ACC147,核心业务系统‑S‑ACC147,核心,PJ‑S‑ACC147
SYS‑S‑ACC148,一般业务系统‑S‑ACC148,一般,PJ‑S‑ACC148
SYS‑S‑ACC149,一般业务系统‑S‑ACC149,一般,PJ‑S‑ACC149
SYS‑S‑ACC150,重要业务系统‑S‑ACC150,重要,PJ‑S‑ACC150
SYS‑S‑ACC151,一般业务系统‑S‑ACC151,一般,PJ‑S‑ACC151
SYS‑S‑ACC152,重要业务系统‑S‑ACC152,重要,PJ‑S‑ACC152
SYS‑S‑ACC153,一般业务系统‑S‑ACC153,一般,PJ‑S‑ACC153
SYS‑S‑ACC154,重要业务系统‑S‑ACC154,重要,PJ‑S‑ACC154
SYS‑S‑ACC155,一般业务系统‑S‑ACC155,一般,PJ‑S‑ACC155
SYS‑S‑ACC156,核心业务系统‑S‑ACC156,核心,PJ‑S‑ACC156
SYS‑S‑ACC157,重要业务系统‑S‑ACC157,重要,PJ‑S‑ACC157
SYS‑S‑ACC158,重要业务系统‑S‑ACC158,重要,PJ‑S‑ACC158
SYS‑S‑ACC159,重要业务系统‑S‑ACC159,重要,PJ‑S‑ACC159
SYS‑S‑ACC160,重要业务系统‑S‑ACC160,重要,PJ‑S‑ACC160
SYS‑S‑SUD161,核心业务系统‑S‑SUD161,核心,PJ‑S‑SUD161
SYS‑S‑SUD162,一般业务系统‑S‑SUD162,一般,PJ‑S‑SUD162
SYS‑S‑SUD163,重要业务系统‑S‑SUD163,重要,PJ‑S‑SUD163
SYS‑S‑SUD164,核心业务系统‑S‑SUD164,核心,PJ‑S‑SUD164
SYS‑S‑SUD165,一般业务系统‑S‑SUD165,一般,PJ‑S‑SUD165
SYS‑S‑SUD166,一般业务系统‑S‑SUD166,一般,PJ‑S‑SUD166
SYS‑S‑SUD167,一般业务系统‑S‑SUD167,一般,PJ‑S‑SUD167
SYS‑S‑SUD168,核心业务系统‑S‑SUD168,核心,PJ‑S‑SUD168
SYS‑S‑SUD169,一般业务系统‑S‑SUD169,一般,PJ‑S‑SUD169
SYS‑S‑SUD170,核心业务系统‑S‑SUD170,核心,PJ‑S‑SUD170
SYS‑S‑SUD171,重要业务系统‑S‑SUD171,重要,PJ‑S‑SUD171
SYS‑S‑SUD172,重要业务系统‑S‑SUD172,重要,PJ‑S‑SUD172
SYS‑S‑SUD173,重要业务系统‑S‑SUD173,重要,PJ‑S‑SUD173
SYS‑S‑SUD174,重要业务系统‑S‑SUD174,重要,PJ‑S‑SUD174
SYS‑S‑SUD175,重要业务系统‑S‑SUD175,重要,PJ‑S‑SUD175
SYS‑S‑SUD176,核心业务系统‑S‑SUD176,核心,PJ‑S‑SUD176
SYS‑S‑SUD177,一般业务系统‑S‑SUD177,一般,PJ‑S‑SUD177
SYS‑S‑SUD178,一般业务系统‑S‑SUD178,一般,PJ‑S‑SUD178
SYS‑S‑SUD179,重要业务系统‑S‑SUD179,重要,PJ‑S‑SUD179
SYS‑S‑SUD180,核心业务系统‑S‑SUD180,核心,PJ‑S‑SUD180
SYS‑S‑REC181,重要业务系统‑S‑REC181,重要,PJ‑S‑REC181
SYS‑S‑REC182,重要业务系统‑S‑REC182,重要,PJ‑S‑REC182
SYS‑S‑REC183,核心业务系统‑S‑REC183,核心,PJ‑S‑REC183
SYS‑S‑REC184,重要业务系统‑S‑REC184,重要,PJ‑S‑REC184
SYS‑S‑REC185,一般业务系统‑S‑REC185,一般,PJ‑S‑REC185
SYS‑S‑REC186,重要业务系统‑S‑REC186,重要,PJ‑S‑REC186
SYS‑S‑REC187,重要业务系统‑S‑REC187,重要,PJ‑S‑REC187
SYS‑S‑REC188,一般业务系统‑S‑REC188,一般,PJ‑S‑REC188
SYS‑S‑REC189,核心业务系统‑S‑REC189,核心,PJ‑S‑REC189
SYS‑S‑REC190,核心业务系统‑S‑REC190,核心,PJ‑S‑REC190
SYS‑S‑REC191,重要业务系统‑S‑REC191,重要,PJ‑S‑REC191
SYS‑S‑REC192,重要业务系统‑S‑REC192,重要,PJ‑S‑REC192
SYS‑S‑REC193,一般业务系统‑S‑REC193,一般,PJ‑S‑REC193
SYS‑S‑REC194,核心业务系统‑S‑REC194,核心,PJ‑S‑REC194
SYS‑S‑REC195,重要业务系统‑S‑REC195,重要,PJ‑S‑REC195
SYS‑S‑REC196,核心业务系统‑S‑REC196,核心,PJ‑S‑REC196
SYS‑S‑REC197,一般业务系统‑S‑REC197,一般,PJ‑S‑REC197
SYS‑S‑REC198,一般业务系统‑S‑REC198,一般,PJ‑S‑REC198
SYS‑S‑REC199,核心业务系统‑S‑REC199,核心,PJ‑S‑REC199
SYS‑S‑REC200,重要业务系统‑S‑REC200,重要,PJ‑S‑REC200
